特色,連結事業,従業員数（単独）,従業員数（連結）,平均年齢,平均年収
信越化学からウエハ研磨加工を受託。半導体関連装置の販売も。信越によるＴＯＢで上場廃止へ,【単独事業】半導体53(15)、産商47(6)、エンジニアリング0(15)【海外】15(2024.5),1186,---,40.3,5760000
独立系。ＩＴ支援の情報システムに集中。電子デバイスは２４年１月売却。大株主に麻生、富士通,情報ネットワークソリューションサービス82(6)、電子デバイス18(2)(2024.3),1216,2108,43.5,9140000
独立系化学品商社。苛性ソーダは首位級。複合フィルムは国内、ナイロンフィルムはアジア注力,化学品67(8)、機能材21(6)、他12(3)(2024.3),295,415,42.4,7380000
三菱電機系の技術商社。三菱電のＦＡシステム、ルネサスの半導体が主。ビル、店舗向け空調等も,ＦＡシステム51(5)、半導体デバイス37(5)、施設9(3)、他2(-1)【海外】15(2024.3),891,1489,43.2,8390000
中部地盤。しゃぶしゃぶ最大手で、居酒屋や焼き肉も展開。２１年、千葉の焼き肉「大将軍」を買収,木曽路79、焼肉15、居酒屋2、鈴のれん1、他3(2024.3),1305,1309,44.9,5450000
関西圏地盤の外食中堅。郊外型ファミレス「和食さと」が主力。傘下に「にぎり長次郎」子会社も,和食100(2024.3),724,1441,44.8,4600000
「ベルメゾン」展開するカタログ、ネット主体の通販大手。頒布会、店舗に特徴。大株主にＪＲ東,通信販売88(-14)、法8(2)、保険1(54)、他3(2)(2023.12),519,892,40.0,6290000
スーツなどの紳士服専門チェーン。ＳＣ軸に出店。オーダースーツに注力。私的整理で再建へ,【単独事業】重衣料44、中衣料4、軽衣料48、他4(2024.2),281,---,45.1,3680000
地方の食品スーパー連合。１５年山口の丸久と大分のマルミヤストア、１７年福岡のマルキョウ統合,スーパーマーケット92(3)、ディスカウント7(3)、他0(14)(2024.2),769,1768,40.8,4980000
関東地盤のホームセンター（ＨＣ）。ＤＩＹ、家庭用品が主。業界大手ＤＣＭＨＤが完全子会社化,【単独事業】園芸・エクステリア19、インプルーブメント17、レジャー・ペット15、ハウスキーピング29、家具6、家電12、他2(2023.2),1010,---,46.3,5650000
かつらで双璧、女性向け首位。ＭＢＯ成立、女性用再生へテコ入れ実施へ。１７年２月ごろ上場廃止,アデランス35(19)、フォンテーヌ10(1)、ボズレー15(1)、海外ウィッグ36(-3)、他3(-12)【海外】51(2016.2),2309,6095,44.0,5080000
関西地盤の家電量販大手。ＰＣや玩具、ソフトの専門店も展開。営業等でも地元色を全面訴求,家電49、情報通信24、他27(2024.3),3707,4245,43.6,5820000
関東地盤にＬＰガス、都市ガスを展開。直販に特色。Ｍ＆Ａ戦略で商圏拡大。電力にも参入,ＬＰガス44(58)、電気22(9)、都市ガス35(31)(2024.3),1161,1715,39.2,6460000
九州発の家電量販。全国展開したが業績暗転、地盤回帰。１７年７月ヤマダ電機が完全子会社化,家電小売81(4)、家電卸売16(2)、クレジット0(-212)、サービス1(-1)、他1(4)【海外】16(2017.2),2414,3171,44.5,4490000
首都圏食品スーパー大手。カスミ、マックスバリュ関東と統合、共同持株会社１５年３月上場,小売99(1)、不動産1(14)、他0(-3)(2014.2),3465,3808,41.6,5100000
外食老舗。「ロイヤルホスト」と天丼「てんや」等を展開。ホテルや施設内食堂、食品も展開,外食44(7)、コントラクト31(5)、ホテル21(9)、食品4(2)、他0(-2)(2023.12),128,1979,46.2,7200000
中華レストラン「東天紅」を全国の都市部に展開。宴会依存度高い。新・上野本店で婚礼に注力,【単独事業】飲食96(8)、賃貸4(43)(2024.2),156,---,40.7,3580000
１都３県で食品スーパー展開。ドラッグストアも。２４年１１月にＵＳＭＨ完全子会社、上場廃止へ,スーパーマーケット81(1)、ドラッグストア18(1)、小売支援0(3)(2024.3),2002,2623,46.5,5400000
埼玉地盤で家具店とホームセンター（ＨＣ）を展開。ニトリＨＤのＴＯＢで３月２４日上場廃止,【単独事業】収納家具3、リビング家具5、ダイニング家具5、ベッド4、ＤＩＹ用品23、家庭用品35、インテリア用品8、レジャー用品他17(2020.8),1560,---,37.1,4920000
靴量販大手。「シュープラザ」「東京靴流通センター」等展開。マックハウス売却で靴事業に集中,靴83(3)、衣料品17(-6)(2024.2),1156,1554,48.3,4900000
総合家具小売り大手。都市部展開。中高級品・輸入品強み。業績不振続き１９年からヤマダＨＤ傘下,【単独事業】応接22、ダイニング18、寝具26、リビングボード5、ジュータン・カーテン8、他21(2020.4),959,---,41.3,---
家具卸大手。生産、販売子会社を持ち、独自商品に強み。オフィスビルなど不動産賃貸が利益柱,【単独事業】業務用家具20、リビング用家具6、インテリア商品6、育児・学童家具7、オフィス家具6、プラスチック成型品2、不動産賃貸収入53(2018.3),53,---,45.0,5400000
食品スーパーで売上高トップ級。首都圏と近畿で集中展開。０５年より三菱商事の持分法会社に,食品85、生活関連用品8、衣料品3、他4(2024.2),7468,7473,40.8,5730000
茨城地盤の食品スーパー。マルエツ、マックスバリュ関東と統合、共同持株会社１５年３月上場,スーパーマーケット・生鮮食品34、同・一般食品59、同・他3、他0、営業収入4(2014.2),2027,2146,40.1,5050000
イオン系の食品スーパー。経営破綻した旧ヤオハンが母体。マックスバリュ中部を１９年吸収合併,国内・農産12、同・水産6、同・畜産8、同・デリカ13、同・デイリー26、同・グロサリー30、同・ノンフード他5(2024.2),2492,---,43.3,5580000
九州発祥。長崎ちゃんぽん「リンガーハット」と、とんかつ「濱かつ」が軸。直営中心、ＦＣも展開,長崎ちゃんぽん81(2)、とんかつ19(4)、設備メンテナンス0(9)(2024.2),145,555,46.6,6310000
呉服の専門店チェーン。旧ユニー系。ＴＯＢ経てベルーナの完全子会社に、９月２６日上場廃止,着物・裏地等35、帯15、和装小物10、仕立加工15、宝石20、他5(2018.2),35,386,46.2,5010000
祖業は家電販売。買収したギフトのシャディが現柱。２３年にバーニーズジャパン買収。中国資本,ギフトソリューション68(2)、リテール25(4)、トレーディング5(6)、アセット・サービス2(-28)【海外】4(2023.12),69,1101,42.2,5430000
九州地盤の家電、日用品、食品等総合ディスカウントストア。関東にも進出。配当性向３０％目安,食品37、ＨＢＣ20、家電14、ライフスタイル14、ホームリビング9、アパレル5、他0(2024.2),86,702,43.9,6860000
栄養補助食品等ネットワークマーケティングで無店舗販売。ＴＯＢで１９年１２月２３日上場廃止へ,栄養補給食品86、他14【海外】77(2019.3),74,---,---,---
首都圏中心に「天狗」ブランドで居酒屋、和食レストランを直営展開。立ち飲みの「神田屋」育成中,料理類62、飲物類38(2024.3),254,255,42.3,5290000
静岡地盤のＨＣ。愛知、神奈川にも展開。木材商発祥で住宅関連に強み。建築専門店を強化,ホームセンター73(0)、専門店24(-1)、他3(9)(2024.3),399,443,43.3,5190000
近畿地盤。ファミレス・居酒屋など撤退、低単価うどん業態に専念。同業中堅ジョイフルの子会社,【単独事業】フードサービス100(2024.3),9,---,47.7,5220000
紳士服業界２位。「パジャマスーツ」展開。複合カフェの快活ＣＬＵＢや式場アニヴェルセルも,ファッション53(8)、エンターテイメント40(7)、アニヴェルセル・ブライダル6(1)、不動産賃貸1(22)、他0(-1)(2024.3),149,3087,42.8,6550000
注文紳士服の老舗大手、１９０７年創業。小売りと催事販売が柱。株式併合決議経て上場廃止へ,小売59(1)、卸売25(1)、受託縫製16(3)(2024.3),17,334,60.4,3940000
和歌山地盤に近畿、中部で食品スーパーやスーパーセンター（ＳｕＣ）展開。ニチリウグループ,スーパーマーケット100、他0(2024.2),2036,---,46.8,5090000
新潟発祥の大手ホームセンター（ＨＣ）。小型店と大型店を組み合わせた集中出店で全国展開,工具金物作業用品18、リフォーム資材エクステリア15、園芸農業ペット30、日用品家電カーレジャー19、インテリア家庭他9、他9(2024.3),3778,4109,37.8,5010000
紳士服業界首位、郊外型紳士服専門店チェーンの草分け。靴修理店「ミニット」や飲食店も展開,ビジネスウェア69(6)、カード2(41)、印刷・メディア5(1)、雑貨販売8(2)、総合リペアサービス他16(5)(2024.3),2703,6636,37.7,4960000
国内旅行土産品の卸売業で業界トップ級。小売店も併営、長野中心に全国展開。温浴施設は縮小,みやげ卸売76(9)、同・小売11(4)、同・製造2(7)、温浴施設4(19)、不動産賃貸2(30)、アウトドア用品5(-4)、他1(2)(2024.3),180,208,46.8,4570000
ＩＴ機器を輸入販売する技術商社。新技術の目利きと衛星通信技術に強み。大学、官庁向け強い,システムソリューション34(3)、ネットワークソリューション12(8)、電子部品及び機器53(5)(2024.3),134,169,47.1,6080000
低価格の実用・ファッション衣料。仕入れ主体。ローコスト運営。ベビー業態「バースデイ」も,【単独事業】婦衣料32、紳士衣料9、肌着23、ベビー・子供服8、寝装具他28(2024.2),2808,3238,43.4,6890000
神奈川地盤のドラッグストア。１５年９月１日ウエルシアＨＤの完全子会社化、８月２７日上場廃止,【単独事業】一般食料品16、雑貨品29、医薬品15、調剤薬品15、化粧品24、他1(2015.2),1230,---,36.1,5190000
仏壇・仏具の小売専門店で業界首位。葬儀社と提携販売も。墓石や屋内墓苑の販売も手がける,【単独事業】仏壇仏具・墓石92(9)、屋内墓苑3(36)、飲食・食品・雑貨1(-12)、他5(-8)(2024.3),758,---,45.0,5220000
東京、大阪など全国展開する老舗百貨店。東南アジアでも展開。ＳＣ子会社・東神開発の寄与大,百貨店業73(8)、商業開発業11(17)、金融業4(21)、建装6(-2)、他6(3)(2024.2),3726,6699,49.1,7380000
呉服店発祥の名門百貨店。銀座本店と浅草店の２店体制。独立路線維持。子会社で飲食店運営も,百貨店業83(8)、飲食業8(-2)、ビル総合サービス及び広告業5(0)、他4(7)(2024.2),537,829,46.9,6690000
０７年阪急、阪神百貨店が統合し誕生。関西の雄。食品スーパー展開。旧関西スーパーと経営統合,百貨店27(12)、食品63(2)、商業施設5(9)、他5(0)(2024.3),2814,8454,48.7,---
近鉄グループ。大阪南部、奈良が地盤。あべのハルカス近鉄本店が中核。ＦＣ事業の展開にも力,百貨店81(3)、卸・小売12(2)、内装3(14)、不動産業0(63)、他3(2)(2024.2),1539,2121,46.9,4740000
名古屋の百貨店「４Ｍ」の一角。親会社の興和が完全子会社化へＴＯＢ、７月６日にも上場廃止へ,百貨店85(-4)、不動産賃貸9(30)、他6(-1)(2017.2),144,193,45.5,4550000
１９２３年創設の老舗百貨店。金沢・香林坊店と富山店の２店体制。子会社にホテルや勁草書房,百貨店86(2)、ホテル7(-12)、出版4(6)、他3(8)(2024.2),409,615,46.3,3700000
カタログ通販大手。「シャディ」も展開。１４年セブン＆アイグループ入り。１０月２７日に上場廃止,コマース97(-5)、ファイナンス1(76)、他2(-1)(2015.12),55,1271,44.8,6020000
住友電工グループの金属・化成品部材商社。ネジ卸首位。親会社がＴＯＢ、完全子会社化企図,エレクトロニクス27(4)、自動車38(4)、エリア36(4)【海外】36(2022.3),518,1385,43.1,6820000
ファッションビル経営の先駆でデベロッパー事業主力。劇場など兼営。３月１８日に上場廃止,ショッピングセンター56(10)、専門店22(0)、総合空間16(3)、他6(-5)(2019.2),636,2206,42.9,7370000
小売店は自社での販売から賃貸へ移行。自社「エポスカード」による割賦販売・手数料収入が柱,小売30(9)、フィンテック70(25)(2024.3),283,4197,39.4,6340000
流通系カード大手。リースや保証、不動産、エンタメ事業も展開。インドの金融事業を急拡大,ペイメント56(8)、リース3(35)、ファイナンス14(48)、不動産13(69)、グローバル6(9)、エンタテインメント8(17)【海外】6(2024.3),3764,6468,43.9,5860000
神奈川の百貨店。藤沢、横須賀が柱。テナント導入で構造改革。健康食品製造のＡＦＣ−ＨＤ傘下,衣料品22、身回品9、雑貨15、家庭用品2、食料品46、食堂・喫茶2、他4(2024.8),145,145,49.2,3840000
新潟地盤のスーパー原信とナルス、群馬のフレッセイが統合。加工センター活用の生鮮に強み,スーパーマーケット100(4)、他0(10)(2024.3),28,2666,52.6,7810000
セルフサービス方式の大手総合衣料問屋。婦外着や日用雑貨に軸足を置く。海外仕入れ拡大,卸売97(-10)、エンターテイメント0(-21894)、メディカル3(-70)、他0(-551)(2023.3),84,93,50.3,4070000
山陽電鉄系。百貨店は姫路駅ターミナルの本店のみ、サテライトショップも。ＴＯＢで上場廃止,衣料品31、身回品6、家庭用品5、食料品33、雑貨19、他5(2020.2),263,306,46.6,3420000
北九州地盤の老舗百貨店。小倉本店と山口店を展開。黒崎、宇部、コレットは閉鎖し経営資源集中,百貨店業100(4)、友の会0(9)(2024.2),580,696,50.0,3770000
総合スーパー大手。機構、丸紅主導の再建経てイオン子会社。完全子会社化で１２月２６日上場廃止,小売98(-1)、不動産2(8)(2014.2),5193,8176,46.7,5480000
関西地盤の準大手スーパー。ＧＭＳ業態が主。Ｈ２Ｏによる完全子会社化で５月２８日上場廃止,総合小売業96(1)、他4(4)(2013.2),2145,3743,39.7,5450000
国内流通２強の一角、ＧＭＳと食品スーパー中心。Ｍ＆Ａで成長。上場子会社で金融、不動産など,ＧＭＳ34(1)、ＳＭ29(2)、他37(5)【海外】9(2024.2),488,163584,49.3,8620000
愛知地盤の総合スーパー。「アピタ」等展開。コンビニも。ファミマと統合で８月２９日上場廃止,総合小売業77(1)、コンビニエンスストア15(4)、専門店5(0)、金融1(21)、他2(4)(2016.2),49,8993,51.3,6470000
中四国・九州地盤。ＳＣ型総合スーパー「ゆめタウン」が軸。食品スーパーも。ニチリウグループ,小売96(6)、小売周辺3(13)、他1(12)(2024.2),2989,5058,40.1,5640000
東京、埼玉、千葉の東武沿線中心に食品スーパー展開。東武鉄道がＴＯＢにより完全子会社化へ,加工食品40、生鮮食品40、衣料品3、生活用品3、商事0、専門店8、フードサービス1、警備業等5(2018.2),806,856,40.2,5010000
中小企業のデジタル化・脱炭素化を支援。関連機器やシステムを販売。Ｍ＆Ａ進め地域活性化,フォーバルＢＧ53(6)、フォーバルテレコムＢＧ36(4)、総合環境コンサルティングＢＧ8(2)、他3(13)(2024.3),831,2489,37.3,5740000
滋賀県で圧倒的シェアのスーパー。東海や北陸に出店。中国に百貨店進出。ニチリウグループ,小売95(3)、小売周辺1(2)、他4(5)(2024.2),3545,4834,42.6,5690000
中四国最大手スーパー。イオン系。２４年３月フジ・リテイリング、マックスバリュ西日本と合併,総合小売92、他8(2024.2),6911,---,51.2,7160000
埼玉県中心に食品スーパーを展開。独立系。営業利益率は業界首位級。ライフとＰＢ共同開発,スーパーマーケット100(2024.3),4323,4926,39.6,6170000
スポーツ用品販売大手。大型店のスーパースポーツゼビオ、ヴィクトリアが柱。ゴルフ専門店も,スポーツ用品・用具94、他6(2024.3),6,2560,57.0,10620000
北関東発祥の家電量販。デンコードーなど買収し全国区へ拡大。現金値引きと郊外大型店に特徴,音響商品2、映像商品11、情報機器24、家庭電化商品39、季節商品16、他8(2024.3),2324,7307,41.8,5540000
化粧・日用品、一般用医薬品卸で業界最大手。メディパルＨＤ傘下。ドラッグストア向け約６割,【単独事業】卸売・化粧品24、同・日用品43、同・医薬品13、同・健康・衛生関連品18、同・他2(2024.3),2237,---,45.4,6660000
北陸地盤の総合商社。化学品、情報システム、住宅設備、石油などに展開。医薬品原薬など製造も,化学品39(1)、情シス10(9)、空調設備工事16(8)、エネルギ7(5)、樹脂・エレ12(11)、住設機器15(-2)、他2(8)【海外】13(2024.3),609,3556,41.2,6710000
兵庫と中四国で展開のイオン系食品スーパー。２１年マルナカ吸収。２２年３月フジと経営統合へ,スーパーマーケット99、他1(2021.2),5409,---,44.8,5400000
独立系。首都圏地盤に食品スーパーや大型ホームセンター（ＨＣ）、専門店など幅広く展開,食品部門60、非食品部門40(2024.2),30,1609,48.1,5310000
日産系最大手ディーラー。東京の個・小口法販売を集約し発足、傘下の販社３社を２１年統合,自動車関連97(7)、情報システム関連2(6)、他0(42)(2024.3),52,2661,51.0,7910000
千葉県地盤の独立系輸入車販売店。ＶＷなど８ブランド扱う。不動産、発電事業も。ＭＢＯを実施,【単独事業】車両販売関連97(5)、不動産2(52)、発電1(41)(2021.3),146,---,40.3,5420000
---,---,---,---,---,---
旧長銀。２１年ＳＢＩ傘下に。公的資金残は普通株２１００億超。ＳＢＩがＴＯＢし非上場化へ,【資金】預金79、譲渡性預金21、債券0【資産】現・預け金15、有価証券16、貸出金59、他9【融資】中小企業等向け60、住宅・消費者向け18(2023.3),2329,5714,42.8,7790000
旧日債銀。事業再編など専門的な投融資に強み。地銀連携に力点。ＧＭＯとネット銀。四半期配当,【資金】預金97、譲渡性預金3、債券0【資産】現・預け金17、有価証券17、貸出金56、他10【融資】中小企業等向け75、住宅・消費者向け0(2024.3),1963,2494,44.1,8870000
国内最大の民間金融グループ。銀行、信託、証券、カード、リース等。米州、アジアでの展開進む,【資金】預金77、金銭信13、他10【資産】現・預け金16、有価証券24、貸出金17、他43【融資】中小企業等向け57、住宅・消費者向け21(2024.3),31801,158132,39.6,8120000
旧大和・あさひ。傘下にりそな、埼玉りそな、関西みらい、みなとの４行。グループ連携を加速,【資金】預金80、金銭信16、他4【資産】現・預け金27、有価証券12、貸出金56、他5【融資】中小企業等向け79、住宅・消費者向け40(2024.3),8362,20391,41.5,7150000
傘下に三井住友信託銀行。銀行、資産運用・管理、不動産など手がける。信託財産残高首位,【資金】貸付信0、預金38、金銭信38、他24【資産】現・預け金7、有価証券3、貸出金11、他79【融資】中小企業等向け67、住宅・消費者向け38(2024.3),14183,23531,41.9,7280000
傘下に三井住友銀、ＳＭＢＣ日興証券、カードなど。３大金融グループの一角、効率性トップ,【資金】預金91、譲渡性預金9【資産】現・預け金29、有価証券14、貸出金40、他17【融資】中小企業等向け59、住宅・消費者向け19(2024.3),28191,123326,40.3,8640000
地銀上位。現存最古の銀行。新潟県で断トツ。同県２位の北越銀行と１８年１０月１日経営統合予定,【資金】定期30、普通58、当座6、通知0、他6【資産】現・預け金13、有価証券30、貸出金55、他2【融資】中小企業等向け60、住宅・消費者向け24(2018.3),2270,2625,39.0,6770000
地銀中位。新潟県２番手。長岡市本拠。県内首位の第四銀行と経営統合、持株会社１０月１日上場,【資金】定期35、普通52、当座5、通知0、他8【資産】現・預け金6、有価証券30、貸出金61、他3【融資】中小企業等向け63、住宅・消費者向け24(2018.3),1459,---,39.6,6220000
福岡本拠の地銀。子会社２社と持株会社設立。当行は１６年９月上場廃止、持株会社が１０月上場,【資金】定期39、普通50、当座4、通知0、他7【資産】現・預け金7、有価証券21、貸出金70、他2【融資】中小企業等向け78、住宅・消費者向け39(2016.3),3638,---,40.6,6480000
傘下の札幌銀と北洋銀合併。資金量第二地銀最大。公的資金注入行。９月２６日上場廃止後、再上場,【資金】定期33、普通56、当座5、通知0、他6【資産】現・預け金4、有価証券20、貸出金71、他5【融資】中小企業等向け64、住宅・消費者向け29(2012.3),3491,3886,41.0,6170000
地銀大手。千葉県で断トツ。東京展開強化。武蔵野銀や横浜銀と提携。地銀１０行以上の広域連携も,【資金】定期21、普通71、当座2、通知0、他6【資産】現・預け金22、有価証券14、貸出金60、他4【融資】中小企業等向け83、住宅・消費者向け34(2024.3),3828,4277,38.7,7660000
地銀首位級。東日本銀と１６年４月に経営統合。東京での営業を強化。投信・保険の販売力に強み,【資金】定期26、普通65、当座3、通知1、他5【資産】現・預け金15、有価証券16、貸出金64、他5【融資】中小企業等向け81、住宅・消費者向け50(2015.3),4049,---,37.6,7570000
地銀大手。茨城地盤。周辺都県への展開強化。三菱ＵＦＪと密接。１６年１０月に足利ＨＤと統合予定,【資金】定期34、普通60、当座2、通知0、他3【資産】現・預け金5、有価証券30、貸出金64、他1【融資】中小企業等向け64、住宅・消費者向け36(2016.3),3424,---,39.4,7200000
地銀上位。県内シェアは預金、貸出金とも３５％程度で断トツ。ＮＹなど海外拠点も。国際基準行,【資金】定期21、普通70、当座4、通知0、他5【資産】現・預け金17、有価証券21、貸出金60、他1【融資】中小企業等向け81、住宅・消費者向け38(2024.3),2787,3014,41.5,7230000
地銀中位。さいたま市中心に埼玉県全域に店舗。東京との県境地区を強化。千葉銀と包括的提携,【資金】定期26、普通68、当座4、通知0、他2【資産】現・預け金4、有価証券19、貸出金75、他2【融資】中小企業等向け81、住宅・消費者向け39(2024.3),1911,2044,40.5,6580000
千葉県３行中３番手。都内にも進出。法融資やコンサルに注力。みずほグループからは離脱,【資金】定期27、普通66、当座3、通知0、他5【資産】現・預け金8、有価証券16、貸出金74、他1【融資】中小企業等向け89、住宅・消費者向け35(2024.3),1279,1362,39.8,6300000
地銀中位行。茨城県２番手。関東つくば銀行が茨城銀行と合併。震災後に公的資金３５０億,【資金】定期29、普通68、当座2、通知0、他1【資産】現・預け金12、有価証券15、貸出金71、他2【融資】中小企業等向け71、住宅・消費者向け28(2024.3),1288,1343,43.0,5990000
中小企業金融の滑化へ戦後設立。店舗はほぼ都内。八000代銀行との経営統合で営業基盤強化へ,【資金】定期51、普通38、当座7、通知1、他4【資産】現・預け金5、有価証券20、貸出金72、他3【融資】中小企業等向け79、住宅・消費者向け26(2014.3),1516,1642,39.3,6440000
仙台拠点で東北最大の地銀。預貸率向上が課題。仙台再開発に照準。横浜銀等とシステム共同化,【資金】定期21、普通71、当座3、通知0、他5【資産】現・預け金12、有価証券30、貸出金56、他2【融資】中小企業等向け66、住宅・消費者向け23(2024.3),2372,2602,38.9,7340000
地銀中位。青森県最大の金融機関。岩手銀、秋田銀と提携。みちのく銀と２２年４月に経営統合,【資金】定期29、普通58、当座3、通知0、他10【資産】現・預け金24、有価証券23、貸出金51、他3【融資】中小企業等向け57、住宅・消費者向け27(2021.3),1230,1288,40.9,6120000
地銀中位行。預貸金とも秋田県で圧倒的シェア。仙台、北海道にも展開。青森銀、岩手銀と親密,【資金】定期30、普通60、当座5、通知0、他5【資産】現・預け金19、有価証券23、貸出金56、他2【融資】中小企業等向け53、住宅・消費者向け19(2024.3),1208,1265,40.5,6220000
山形、米沢の内陸工業地帯が地盤の地銀中堅。財務良好、県内トップシェア。県指定金融機関,【資金】定期25、普通65、当座4、通知0、他6【資産】現・預け金6、有価証券29、貸出金62、他3【融資】中小企業等向け60、住宅・消費者向け30(2024.3),1064,1191,41.0,6560000
地銀中位。岩手県３行中断トツ。秋田銀と提携。リース、カード、ベンチャーキャピタルも,【資金】定期26、普通63、当座2、通知0、他10【資産】現・預け金14、有価証券29、貸出金53、他3【融資】中小企業等向け60、住宅・消費者向け25(2024.3),1307,1392,40.1,6600000
福島県地盤、茨城、東京にも店舗。財務基盤安定し、県内シェアは預金が４割半ば、貸出が約４割,【資金】定期17、普通69、当座5、通知0、他9【資産】現・預け金27、有価証券13、貸出金58、他2【融資】中小企業等向け50、住宅・消費者向け22(2024.3),1735,1957,41.6,6340000
地銀下位行。岩手県３行中３番手。フィデアＨＤとの経営統合合意は解除。公的資金１００億,【資金】定期33、普通63、当座2、通知0、他2【資産】現・預け金8、有価証券22、貸出金66、他4【融資】中小企業等向け73、住宅・消費者向け13(2024.3),567,579,41.0,5440000
地銀中位行。青森２番手。函館にも営業地盤。公的資金２００億。青森銀と２２年４月経営統合,【資金】定期33、普通59、当座3、通知0、他6【資産】現・預け金17、有価証券8、貸出金73、他2【融資】中小企業等向け67、住宅・消費者向け33(2021.3),1274,1340,41.2,5270000
福岡銀行を中心に九州地銀４行を抱える。総資産で地銀首位級。ネット専業「みんなの銀行」も,【資金】定期19、普通69、当座5、通知0、他6【資産】現・預け金25、有価証券15、貸出金54、他7【融資】中小企業等向け67、住宅・消費者向け21(2024.3),3658,8254,38.3,7180000
地銀上位。静岡で断トツ。国際基準行。財務強固。東名阪、神奈川に支店。２２年１０月持株会社化,【資金】定期27、普通59、当座5、通知0、他9【資産】現・預け金15、有価証券16、貸出金64、他5【融資】中小企業等向け79、住宅・消費者向け39(2022.3),2618,3982,39.0,7410000
資金量は岐阜県首位。県内貸出シェア３割。愛知県展開。岐阜銀と１２年合併。１０月持株会社移行,【資金】定期32、普通56、当座7、通知1、他4【資産】現・預け金13、有価証券22、貸出金63、他2【融資】中小企業等向け76、住宅・消費者向け44(2021.3),2179,2839,40.7,6640000
静岡東部、神奈川西部地盤。個向け貸出が軸。シェアハウス関連融資は債権譲渡が一服,【資金】定期50、普通46、当座2、通知0、他2【資産】現・預け金28、有価証券8、貸出金58、他6【融資】中小企業等向け94、住宅・消費者向け74(2024.3),1195,1435,45.4,7350000
地銀上位。長野県の貸出金シェア約５割。堅実経営、高自己資本比率、長野銀行を完全子会社化,【資金】定期28、普通65、当座5、通知0、他2【資産】現・預け金27、有価証券24、貸出金45、他4【融資】中小企業等向け52、住宅・消費者向け23(2024.3),3309,4207,42.1,6910000
山梨唯一の地銀。県内融資シェア約４割。東京都西部にも積極進出。静岡銀行と包括業務提携,【資金】定期27、普通67、当座3、通知0、他3【資産】現・預け金16、有価証券23、貸出金58、他3【融資】中小企業等向け61、住宅・消費者向け20(2024.3),1606,1644,39.0,6360000
岐阜県西部地盤に愛知、三重、滋賀へ展開。岐阜、愛知にローンプラザ配置、独自サービスに定評,【資金】定期28、普通62、当座7、通知0、他3【資産】現・預け金10、有価証券19、貸出金69、他2【融資】中小企業等向け74、住宅・消費者向け41(2024.3),2379,3043,39.1,6400000
福井県地盤に石川、富山にも展開。地銀中位行。福邦銀行を２４年１０月に完全子会社化、２６年合併,【資金】定期28、普通59、当座8、通知0、他6【資産】現・預け金23、有価証券22、貸出金53、他2【融資】中小企業等向け67、住宅・消費者向け30(2024.3),1264,1777,41.6,5330000
石川県を地盤とする地銀中位行。県内融資シェアは４割半ば。１０月に持株会社体制へ移行,【資金】定期32、普通58、当座6、通知0、他4【資産】現・預け金27、有価証券22、貸出金48、他3【融資】中小企業等向け76、住宅・消費者向け38(2021.3),1791,1869,41.3,6410000
地銀中下位行。静岡県内３番手。旧清水市が地盤。戦前に７行合併で誕生。中小企業向けが主体,【資金】定期44、普通49、当座5、通知0、他2【資産】現・預け金9、有価証券16、貸出金72、他3【融資】中小企業等向け80、住宅・消費者向け29(2024.3),901,---,40.2,6010000
戦後設立の地銀。預金量約５０００億、地銀協加盟行では最小規模。隣県の金沢に進出,【資金】定期42、普通51、当座5、通知0、他2【資産】現・預け金6、有価証券23、貸出金70、他1【融資】中小企業等向け72、住宅・消費者向け12(2024.3),341,346,42.1,5470000
滋賀県内の融資シェア４割超だが県外にも積極進出。好財務。不動産や環境関連の融資に強み,【資金】定期33、普通61、当座5、通知0、他1【資産】現・預け金17、有価証券23、貸出金57、他3【融資】中小企業等向け68、住宅・消費者向け26(2024.3),1928,2224,38.2,6790000
地銀中位。奈良県唯一の地銀で貸出金・預金シェア５割と断トツ。隣接府県進出に積極的,【資金】定期29、普通66、当座4、通知0、他2【資産】現・預け金14、有価証券22、貸出金62、他2【融資】中小企業等向け65、住宅・消費者向け29(2024.3),2204,2411,40.1,6760000
地銀上位。三重県で断トツ。三菱ＵＦＪ銀、十六銀、名古屋銀と親密。愛知県での出店を加速,【資金】定期31、普通60、当座4、通知1、他4【資産】現・預け金18、有価証券19、貸出金61、他2【融資】中小企業等向け79、住宅・消費者向け46(2024.3),2213,2852,41.2,7320000
財務体質に定評。京都府内融資シェア約３割。株式含み益は業界トップ級。１０月持株会社移行,【資金】定期23、普通60、当座5、通知0、他12【資産】現・預け金11、有価証券27、貸出金57、他5【融資】中小企業等向け66、住宅・消費者向け28(2023.3),3416,3591,38.7,6740000
和歌山県唯一の地銀。県内シェアは断トツ。大阪にも展開。メイン化を軸とした本業支援に力点,【資金】定期28、普通61、当座6、通知0、他5【資産】現・預け金17、有価証券15、貸出金66、他2【融資】中小企業等向け76、住宅・消費者向け32(2024.3),2156,2482,38.4,5650000
地銀中位。貸出で三重２位。四日市本拠。県北・中部地盤。愛知へ展開。共同持株会社４月２日上場,【資金】定期43、普通43、当座6、通知1、他7【資産】現・預け金5、有価証券23、貸出金70、他2【融資】中小企業等向け72、住宅・消費者向け31(2017.3),1254,1366,37.7,5850000
